Description,Prix,Fiabilite
offer help in etl process datwarehouse modelling data engineering,4.351,0.5900829808561056
a python script for a large csv,2.176,0.40938389085035876
data warehouses and data visualization,3.263,0.40938389085035876
azure data factory pipeline to do etl transformations,20.664,0.5809402158035948
data engineering solutions,21.752,0.5460838028553792
elasticsearch elasticstack kibana logstash,10.876,0.40938389085035876
doing work siemens plc s7 300 400 tia portal 1300 sada hmi,5.438,0.8019827923533767
data engineering work,3.263,0.40938389085035876
web scraping online news article website or other sites,1.088,0.6418029522161849
a sql statement for your,4.351,0.5234946419594957
automate web tasks using python and selenium,9.788,0.7747154418862047
develop data warehouse ssis etl ssrs data visualization,5.438,0.40938389085035876
data automation scripts and bot creation,4.351,0.40938389085035876
data engineering work,3.263,0.40938389085035876
complex calculation in mathcad,1.088,0.8117015350798469
web scraping and data mining service,1.088,0.8117015350798469
automate aws ci cd continuous implementation and delivery pipelines,2.176,0.8267383660435077
data engineering in azure using python,21.752,0.6044401925294902
data science projects using scala and spark,2.176,0.8267383660435077
a reports progress payment doc production follow formations excel,5.438,0.8019827923533767
data science and visualization using python,2.176,0.8267383660435077
project related strength of materials and material engineering,2.176,0.8267383660435077
all data engineering stuff that you need,5.438,0.8019827923533767
be creating a solve blocks using mathcad,1.088,0.8117015350798469
data science machine learning tasks in python,3.263,0.8383581696817393
code fix problem and automate your task,8.701,0.730227948470436
a machine learning model for you,1.088,0.8117015350798469
architect end to end data pipelines,6.526,0.8537775676752782
build etl pipeline using premise or cloud resources,4.351,0.5900829808561056
data engineering google cloud gcp,3.263,0.8383581696817393
be creating a solve blocks using mathcad,1.088,0.8117015350798469
develop scalable data pipeline,21.752,0.8257217692865116
data augmentation images,2.176,0.8267383660435077
data science machine learning tasks in python,3.263,0.8383581696817393
etl data modeling pipelines data warehouse,4.351,0.5900829808561056
sql queries optimize queries and analyze data,3.263,0.8383581696817393
database administration for sql server oracle mysql,5.438,0.8019827923533767
use machine learning skills to modify gan for data synthesis,15.226,0.8329530956439273
make professional excel and google sheets,4.351,0.5900829808561056
matlab work now,10.876,0.7817169347284559
solve any type of excel issue using macros formulas or vba,2.176,0.8267383660435077
your mathcad calculation,1.088,0.8117015350798469
help you with anything in microsoft excel,8.701,0.8400849468920055
very advanced commands,1.088,0.8117015350798469
data analysis using machine learning techniques,4.351,0.5900829808561056
help with big data technologies,6.526,0.8537775676752782
your point clouds comparison and change detection,6.526,0.8537775676752782
data entry plot graphs charts cost estimate in 24 hrs,1.088,0.8117015350798469
your sql database,6.526,0.8537775676752782
data cleaning data wrangling or visualization in python,2.176,0.8267383660435077
develop etl pipelines using azure cloud platform,21.752,0.8257217692865116
automatic custom web scraping into google sheets or csv,1.088,0.8117015350798469
2d and 3d cfd analysis ansys fluent,4.351,0.5900829808561056
help to solve your data migration problems,7.613,0.8124186893906896
perform the etl process and generate the reports,1.088,0.8117015350798469
integrals derivatives calculus factors in mathcad,1.088,0.8117015350798469
assists you in control systems tasks,1.088,0.8117015350798469
save time and money using the google cloud platform,4.351,0.5234946419594957
data analysis etl big data sql power bi pyspark report,1.088,0.40938389085035876
update or fix your talend jobs,1.088,0.8117015350798469
api integration with google sheet using app script,10.876,0.6987873023630011
web scraping data mining and data collection for any websites,2.176,0.6418029522161849
scrape products from ecommerce stores,1.088,0.6605463339332744
data cleaning data wrangling or visualization in azure,21.752,0.8257217692865116
any data related activity modification automation rental service management,5.438,0.6605463339332744
informatica etl development and support,10.876,0.7817169347284559
assist you with blockchain space,21.752,0.8257217692865116
microsoft word document formatting design edit,3.263,0.5809402158035948
develop python data extractor for web xml pdfs images and apis,21.752,0.40938389085035876
python script data extraction json txt csv conversion api logs,2.176,0.6167757066627451
data engineering and etl jobs,4.351,0.40938389085035876
computer vision tensorflow pytorch and android apps with yolo,8.701,0.40938389085035876
realize any type of geological map you need plus any data type interpolation,10.876,0.7817169347284559
web scrapping and data extraction,1.088,0.8117015350798469
data engineering and etl gigs,21.752,0.8257217692865116
virtual assistant in simulating co2 sequestration,2.176,0.8267383660435077
develop python data extractor for web xml pdfs images and apis,21.752,0.40938389085035876
web scraping crawling visualization and data mining with python,6.526,0.8537775676752782
assist in probability and statistic calculus and applied math,2.176,0.8267383660435077
web scraping and data mining from any website in python,2.176,0.8267383660435077
a machine learning project for arizona state university,10.876,0.7817169347284559
floating solar pv design and technical analysis,10.876,0.7817169347284559
convert your legacy sas code into modern spark code,1.088,0.8117015350798469
all teradata relevant tasks tpt bteqs,4.351,0.5900829808561056
fastest data scraping data mining data extraction,1.088,0.8117015350798469
debug create or analyse anything for you in python,2.176,0.8267383660435077
help you in data engineering using aws,10.876,0.7817169347284559
data engineering jobs,1.088,0.8117015350798469
build data engineering pipeline using google cloud platform,4.351,0.5900829808561056
chemical engineering projects and problems assistant,1.088,0.8117015350798469
build your custom excel spreadsheet,21.752,0.8257217692865116
your network or data security expert,2.176,0.8267383660435077
automate custom and daily tasks,2.176,0.8267383660435077
python script to parse extract convert data csv json html xml,5.438,0.8019827923533767
automate web scraping and web crawling in python,8.701,0.8400849468920055
operations research linear programming and related projects,3.263,0.8383581696817393
develop a secure rest api,16.314,0.8439467302736793
snowflake cloud warehouse,10.876,0.7817169347284559
remote sensing and gis mapping task,4.351,0.5900829808561056
become your the go data analyst,10.876,0.7817169347284559
a script to parse extract or transform data xml json csv,4.351,0.5900829808561056
resposnsive google form cognito form jot form surveys monkey,2.176,0.8267383660435077
alteryx workflow and reports,4.351,0.5900829808561056
data wrangling cleaning notebook tasks 4 you with python pandas,10.876,0.7817169347284559
mine data from websites,1.088,0.8117015350798469
data warehousing in dbt,3.263,0.8383581696817393
make python script to parse extract convert data from csv xml json html txt,3.263,0.8383581696817393
file and report automations using python,5.438,0.8019827923533767
projects related to data engineering etls,21.752,0.8257217692865116
data pipelines using dbt data build tool,6.526,0.8537775676752782
build data pipelines using google cloud platform gcp,8.701,0.8400849468920055
etl process through ssis and perform administration,10.876,0.7817169347284559
etlpipeline along with data warehousing and data modeling,4.351,0.5900829808561056
web scraping and data extraction,1.088,0.8117015350798469
professional oracle database for you,1.088,0.40938389085035876
data integration etl job pipeline using talend,1.088,0.8117015350798469
solve your sql query problems and sql task,3.263,0.8383581696817393
data manipulation data analysis in ms excel,3.263,0.8383581696817393
data cleaning visualization and wrangling using python,1.088,0.8117015350798469
serve big data projects pyspark python spark and scala,1.088,0.5809402158035948
all tasks for informatica and further more,3.263,0.8383581696817393
web scraping data mining data extraction from any website,2.176,0.8267383660435077
convert your important data from image to text and deliver in original format,1.088,0.8117015350798469
a python machine learning project with data and feature engineering,1.088,0.8117015350798469
data cleaning wrangling and visualization,2.176,0.8267383660435077
data engineer work,5.438,0.8019827923533767
the best with my expertise in etl,3.263,0.8383581696817393
accelerate your data migration using azure to optimize your business,10.876,0.7817169347284559
3d modelling solidworks and further requirements,1.088,0.8117015350798469
help with hadoop spark hive and big data projects,2.176,0.6167757066627451
data engineering and etl jobs,21.752,0.7651532812676322
anything related to tsql data warehouse ssis etl and bi,4.351,0.7349173958651462
excel help vba dynamic chart pivot table,5.438,0.40938389085035876
bash shell perl python script,4.351,0.7365278268369344
mappings in informatica etl tool,3.263,0.5234946419594957
provid efficient and optimize solutions for data pipeline,8.701,0.8400849468920055
work talend etl,3.263,0.8383581696817393
data cleaning and data wrangling for visualization,4.351,0.5900829808561056
object detection classification segmentation pose estimation,10.876,0.6418029522161849
develop data engineering applications,2.176,0.8267383660435077
etl pipelines using adf azure databricks and pyspark for data migration,10.876,0.5809402158035948
help you in quality control and control chart tasks,1.088,0.6167757066627451
connect rest api with azure data factory,10.876,0.7817169347284559
data science and machine learning project,11.964,0.5234946419594957
any type of aws services,1.088,0.8117015350798469
and design databases layer,4.351,0.5900829808561056
automate google sheets form docs gmail invoice quote using apps script,6.526,0.7790719509500846
data wrangling data preprocessing and data visualization,10.876,0.40938389085035876
data engineer and etl pipeline developer,2.176,0.40938389085035876
big data pyspark machine learning and data analysis with python,10.876,0.6619318178884043
your industrial engineering projects designs,3.263,0.7226419398626543
script for data scraping automation,4.351,0.5809402158035948
excel master with custom formulas,1.088,0.7527520206902649
data entry excel formula for you,2.176,0.40938389085035876
solve dbms data structure analysis of algorithm cpp programming tasks,13.051,0.40938389085035876
data and automation workflows,10.876,0.6752657952862129
web scraping and email scrap from any website,3.263,0.8383581696817393
data analysis tableau dbt power bi data engineering,8.701,0.40938389085035876
database in sql server mysql sql lite erd queries,2.176,0.8267383660435077
elasticsearch kibana and logstash,8.701,0.8400849468920055
django restful api integration and api development,6.526,0.40938389085035876
blast email spam sms bulk sms text message bulk email to any targeted country,8.701,0.8400849468920055
make your data clean and suitable for ml algorithm,2.176,0.8267383660435077
web automation and build bots in python using selenium,3.263,0.6845263370086541
pyspark analysis and airflow etl pipeline,4.351,0.6987873023630011
tik tok promotion superfast tiktok growth tiktok video boost tiktok growth,2.176,0.8267383660435077
prepare flight plans generate dsm dem dtm orthomosaics and image analysis,10.876,0.7817169347284559
web scraping using python,11.964,0.7144028867632759
data processing data collection typing and web research,1.088,0.8117015350798469
tag annotate and label all those images to bring to life,1.088,0.8322948086010398
machine learning python projects,3.263,0.6459950037093845
image annotation segmentation bounding box and all data labeling for,1.088,0.8030541357798862
data analysis in python using google colab,5.438,0.8030541357798862
data science dl and ml tasks,6.526,0.7947118179355073
machine learning data science projects in python,5.438,0.7760727410295211
face recognition object detection and segmentation,10.876,0.6832627555671685
precisely annotate images videos and maps for your model,1.088,0.8212728186732327
data science machine learning data mining python,17.401,0.687228727350409
coach you in gorilla tag,1.088,0.6864974989495592
deep machine learning computer vision in python and r,5.438,0.7057001703361976
customized deep learning projects,13.051,0.5809402158035948
make computer vision deep and machine learning python projects,5.438,0.7710253578120682
machine learning and deep learning python projects,21.752,0.8229926753462572
statistical analysis and modeling using spss r python stata sas and excel,5.438,0.7661904765402587
any computer vision and image processing nlp tasks,10.876,0.7194911064004395
image processing in opencv computer vision and deep learning in python,17.401,0.7849887728640467
your machine learning and deep learning tasks,21.752,0.7497329822074006
python numpy pandas scikit learn matplotlib and seaborn,10.876,0.790036400483458
annotate images nlp bounding box ner all data labeling for ml training,1.088,0.8170477845049933
machine learning python projects,17.401,0.7429551564139516
your opencv and python projects,17.401,0.836225199803302
machine learning and data science projects in python,17.401,0.7157101584793277
to image processing and computer using opencv python,17.401,0.7202314240556349
machine learning deep learning image processing in python,10.876,0.793820707714664
artificial intelligence machine deep learning data science computer vision,17.401,0.7727891041273091
give you end to end machine learning solutions,21.752,0.6605463339332744
data science and machine learning in rstudio r programming,10.876,0.7899689205030757
deep learning machine learning data mining cv projects,10.876,0.7691706387241728
statistical data analysis visualizations using r rstudio,2.176,0.7878466721525715
deep learning and neural network model in tensorflow,4.351,0.7761163276835715
assist you in probability and statistics,1.088,0.7691706387241728
data science projects in python,5.438,0.6972068934358862
projects or tasks in python math statistics jupyter numpy pandas matplotlib,13.051,0.7889257629656462
natural language processing nlp and text analysis,21.752,0.7988045737769698
artificial intelligence machine learning deep learning,4.351,0.7855716133119172
social network analysis tasks in python networkx gephi,7.613,0.763490511931083
help you with any machine learning project,17.401,0.7349300245465662
help in machine learning and data analysis in rstudio r,4.351,0.8171357113883647
data analysis and science with jupyter notebooks in python,7.613,0.8487856300509238
bounding box data image annotation tagging labeling for object detection,1.088,0.8037038940366039
machine deep learning nlp and data science related projects in python,10.876,0.7303164882442119
you data science and machine learning projects in python,4.351,0.713048267717348
help in machine learning and data analysis in r rstudio,10.876,0.7106994885668342
data science data analysis projects and tasks in python jupyter notebook,2.176,0.7194911064004395
machine learning python projects,4.351,0.758190932501323
machine learning data science data analysis visualization project in python,17.401,0.7919554364118077
data science and machine learning project in python,6.526,0.713048267717348
statistical data analysis using r stata python and spss,10.876,0.751872156562704
your neural networks deep learning python projects etc,2.176,0.7790719509500846
annotation tagging or label of all types of your data,1.088,0.7710253578120682
perform data science with r studio,10.876,0.7751586214199921
data science and machine learning assignments and projects,3.263,0.7843705829803926
machine learning and deep learning in computer vision,10.876,0.7876298161558719
python and machine learning tasks for you,17.401,0.785673202997041
opencv projects using python or cpp,17.401,0.7964178915907099
image classification face recognition,8.701,0.7252035597620756
make computer vision machine learning python projects,2.176,0.7527520206902649
computer vision 2d 3d deep learning cnn with pytorch,10.876,0.7106994885668342
python machine learning deep learning projects,17.401,0.6752657952862129
machine learning deep learning python projects,21.752,0.814196385882324
solve your data science machine learning problems,1.088,0.6418029522161849
solve any computer vision project using opencv machine learning deep learning,17.401,0.7589799666068742
machine and deep learning projects in python,5.438,0.7843705829803926
data analysis in rstudio and rapidminer,5.438,0.7464785219693459
python machine learning and data science,10.876,0.687228727350409
develop jupyter notebook using python pandas,3.263,0.7349300245465662
keenly annotate and segment images videos and texts to train your model,1.088,0.7661904765402587
artificial intelligence machine learning projects and tasks python,17.401,0.7842870398777944
machine learning and deep learning tasks with python,4.351,0.7226419398626543
machine learning projects in python,6.526,0.6341244805759434
image annotation image segmentation and data labelling for,1.088,0.7804778061957706
data science statistical and regression analysis,4.351,0.7709948401125635
python machine learning project deep data analysis visualization nlp eda,21.752,0.7710253578120682
accurately annotate images and videos for your model,1.088,0.8178403006506394
machine learning deep learning data analysis data visualization in python,17.401,0.7497329822074006
deep learning cnn and image classification,10.876,0.7303164882442119
machine learning data science data analysis data mining project in python,17.401,0.8306598697741824
machine learning deep learning computer vision python,10.876,0.7555635241137366
machine learning computer vision python projects jupyter notebook,17.401,0.7391222689051209
data analysis and machine learning data science with jupiter notebook python,17.401,0.7957024559198749
data analytics and modelling with rstudio,10.876,0.7465009706139785
machine learning based web or mobile application,5.438,0.7527520206902649
deep learning with neural networks pytorch,8.701,0.8109804996854996
machine learning python projects,4.351,0.7710253578120682
give you face rating,2.176,0.647335407254609
data science and machine learning in python using jupyter notebook,17.401,0.7555635241137366
machine learning in python,2.176,0.7391222689051209
machine learning deep learning nlp work in python and r,6.526,0.713048267717348
image processing computer vision task using python opencv,10.876,0.7556048506558268
computer science research supervisor,16.314,0.7776051777228943
machine learning data science visualization analysis projects in python,6.526,0.7527520206902649
consult in projects related to rapidminer and rstudio,13.051,0.7057001703361976
preprocessing machine learning and deep learning in python,6.526,0.7404522536314619
machine deep learning artificial intelligence data science mining in python,17.401,0.7194911064004395
computer vision deep learning cnn task in tensorflow,1.088,0.6774721635227496
data science machine learning data analysis nlp projects in python and r,4.351,0.713048267717348
natural language processing nlp topic modeling sentiment text alanalysis task,17.401,0.7929024092103629
data analysis using python pandas matplotlib and sklearn,6.526,0.7964178915907099
your machine learning deep learning ros and computer vision tasks,4.351,0.7812906227873571
assist you in artificial intelligence projects,6.526,0.7303164882442119
pro data analysis visualization with python jupyter notebooks,2.176,0.7430271138512966
deep learning and machine learning using tensorflow and sklearn,8.701,0.7404522536314619
natural language processing nlp projects,21.752,0.7106994885668342
data science machine learning data mining python,17.401,0.8099827419937613
natural language processing nlp and text analysis using python,4.351,0.7197436629191045
build python machine learning and data science models,6.526,0.8128674378916447
data analysis with python and jupyter notebook,10.876,0.790036400483458
data science machine learning nlp work in python r,10.876,0.7556048506558268
time series analysis and forecasting in r,17.401,0.7243398235270185
machine learning and data science project using python r,6.526,0.7194911064004395
machine learning python project,2.176,0.7555635241137366
data science statistical and regression analysis in python,10.876,0.809925300574184
and machine learning algorithms for you,21.752,0.7843705829803926
teach python r and machine learning and deep learning,10.876,0.7497329822074006
r pragromming data analysis data visualisation and machine learning projects,10.876,0.7252035597620756
datamining machine learning projects using weka,17.401,0.6907114621444218
assist in bioinformatics analysis of genomic and meta genomic data,1.088,0.7429551564139516
data analysis and machine learning using jupyter notebook,17.401,0.8154586797476188
data science and machine learning work in python,1.088,0.713048267717348
machine learning deep learning and computer vision in python,6.526,0.6987873023630011
machine learning and deep learning projects in python,21.752,0.7464785219693459
data science machine learning deep learning projects,4.351,0.713048267717348
linear and logistic regression in 24 hours python,10.876,0.7315489515299591
data science and machine learning in rstudio r programming,6.526,0.6752657952862129
data science machine and deep learning articles and blogs,2.176,0.6972068934358862
natural language processing projects using python,21.752,0.7555635241137366
python and machine learning tasks,17.401,0.65600440629996
data science machine learning with complete eda visualization prediction,17.401,0.7055328235647035
data science and analysis using python build perfect jupyter notebook,10.876,0.8138374670657965
python machine learning deep learning computer vision imageprocess detection,17.401,0.7434905795332644
data science for you,3.263,0.7450298313883402
gui python java cpp sql database bot script programming assignment task project,7.613,0.8215932849818158
help in your artificial intelligence projects,2.176,0.7391222689051209
programming or work in any language,2.176,0.7761163276835715
computer vision image processing using opencv,17.401,0.8146620455179644
tutor help pde ode calculus data science all university mathematics maths,10.876,0.7464785219693459
data science using python or r,2.176,0.7651532812676322
data analysis and data science with python in jupyter notebook,10.876,0.6987873023630011
research and write management information systems tasks,2.176,0.6135420662235799
build natural language processing nlp systems,17.401,0.7855716133119172
deep learning computer vision tasks and projects,21.752,0.7194911064004395
pandas data analysis machine learning data science with python programming,17.401,0.7661093223108297
image annotation and data labeling tagging bounding box polygon annotation,1.088,0.7760727410295211
hago modelos machine learning r,4.351,0.647335407254609
data analysis tkinter pandas web scraping ml matplotlib in python,17.401,0.7691706387241728
machine learning data science deep learning python,17.401,0.7349300245465662
annotate and label images for and machine learning,1.088,0.758190932501323
make any script using r in rstudio,13.051,0.6418029522161849
solve your data science machine learning nlp problems,21.752,0.7555635241137366
computer vision related projects using opencv in python,8.701,0.7057001703361976
data mining machine learning projects in weka,2.176,0.7804778061957706
machine learning and data science in python,21.752,0.6972068934358862
machine learning and deep learning python projects,2.176,0.687228727350409
code python programming tasks and projects,2.176,0.7057001703361976
python data science machine learning web designing,1.088,0.7011038287144434
machine learning python projects,10.876,0.7629700324182354
statistical data analysis machine learning in r rstudio,1.088,0.7194911064004395
help in data analysis and machine learning in using r studio,1.088,0.758190932501323
object detection raspberrypi,4.351,0.6414303419610152
weka machine learning artificial intelligence tasks,4.351,0.713048267717348
data science and machine learning projects using python,10.876,0.7606541129900376
dedicated data science expert,17.401,0.7157101584793277
data annotation image video tagging and labeling for,2.176,0.6671872749811095
data and image annotation tagging labeling for object detection ml and dl,1.088,0.7804895337588957
build an end to end machine learning system in python,10.876,0.7057001703361976
jupyter notebooks for data science tasks,5.438,0.7132369501573935
deep learning computer vision object detection tensorflow keras python,17.401,0.7429551564139516
regression and classification analysis in python,10.876,0.7988045737769698
machine learning and data science projects using python,4.351,0.7937830871538861
work your computer vision projects,17.401,0.8017073499969806
any computer vision deep learning projects,17.401,0.7843705829803926
machine learning deep learning and opencv projects,6.526,0.7731472477063334
python data science analysis machine learning projects,2.176,0.7376969802764597
jupyter notebook with python pandas numpy data analysis,1.088,0.7166193810905721
data science data analysis work by using r programming,1.088,0.7349300245465662
ensure your data science data analysis project in python,10.876,0.6752657952862129
all your data science projects msc engineer,5.438,0.8049592764884774
qualitative data analysis and machine learning task,10.876,0.7243398235270185
data science tasks projects in python a data scientist,17.401,0.7171918304731413
neural network deep learning models with keras in python ann cnn rnn lstm,17.401,0.6752657952862129
deep learning and machine learning projects,6.526,0.7760727410295211
data science and machine learning projects in python,17.401,0.7629700324182354
python data science machine learning service,17.401,0.7790719509500846
jupyter notebook with data analysis and machine learning,17.401,0.7820699331923054
knn kmean svm other machine learning algorithms in python,1.088,0.7867294286862891
python project task and assignments,1.088,0.7243398235270185
image and audio processing tasks using python,17.401,0.7202314240556349
machine learning and artificial intelligence in python,17.401,0.7349300245465662
machine learning data science and deep learning project,17.401,0.757333322044763
statistical and data analysis,7.613,0.7709948401125635
build train and test nlp models using ml and dl,2.176,0.6418029522161849
nlp machine learning deep learning projects,1.088,0.7776051777228943
solve machine learning and data science problems,10.876,0.7497329822074006
develop jupyter notebook for data analysis and visualization,6.526,0.7804778061957706
data science deep learning and machine learning python tasks,17.401,0.7602772189553353
your opencv image processing and python projects,3.263,0.6915861669294737
omics and bioinformatics projects,17.401,0.7157101584793277
nlp machine learning data science projects,1.088,0.65600440629996
any machine or deep learning projects using python,1.088,0.6418029522161849
help you in data analysis and machine learning in r rstudio,1.088,0.721183497111165
machine learning deep learning and computer vision tasks,3.263,0.6972068934358862
any natural language processing or nlp projects in python,2.176,0.7430271138512966
make your machine learning projects in python,6.526,0.785673202997041
machine learning projects in python,18.489,0.7698601810456789
python projects using machine learning and deep learning,17.401,0.65600440629996
